"at the same time, or they can watch Vanilla Arena’s favourites like reruns of “Leave it to Beaver” or reruns of Yankee movies. Will watch to see Messi, De Paul, Mac Allister, Alvarez and Simeone make a mockery of the Ozzies! I hope you are wrong. ps, didn’t know you are a backer of Vanilla Arena","Thu Jun 15, 2023 1:52 pm",12,1353,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",Argentina 🇦🇷 v Australia 🇦🇺 Thursday 15 June 9.30pm.
"at the same time, or they can watch Vanilla Arena’s favourites like reruns of “Leave it to Beaver” or reruns of Yankee movies. Will watch to see Messi, De Paul, Mac Allister, Alvarez and Simeone make a mockery of the Ozzies!","Wed Jun 14, 2023 1:38 pm",12,1353,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",Argentina 🇦🇷 v Australia 🇦🇺 Thursday 15 June 9.30pm.
$400 Million????,"Fri May 05, 2023 10:52 am",2,1187,World Football,Lionel Messi wear his new Shirts makes Paris Saint-Germain debut
Messi Gonski 1.95507632,"Wed May 03, 2023 11:11 pm",2,1187,World Football,Lionel Messi wear his new Shirts makes Paris Saint-Germain debut
"bloody professional footballers, but they still haven't worked out that Saka goes left, almost every single time. Been saying the same about Messi for along time now So now you're comparing Saka with Messi heh? ;-)","Mon Jan 23, 2023 9:15 pm",776,49960,World Football,EPL 22/23
Been saying the same about Messi for along time now,"Mon Jan 23, 2023 8:00 pm",776,49960,World Football,EPL 22/23
A great final. Well played by both. Two champions in Messi and Mbappe. The second Argentine goal was brilliant. Something you would expect on a PlayStation game. This tweet has a Spanish and English commentary on the winning penalty. Quite a difference,"Mon Dec 19, 2022 10:46 pm",546,30935,World Football,World Cup 2022 Forum
A great final. Well played by both. Two champions in Messi and Mbappe. THe sesecond Argentine goal was brilliant. Something you would expect on a PlayStation game. This tweet has a Spanish and English commentary on the winning penalty. Quite a difference,"Mon Dec 19, 2022 10:04 pm",546,30935,World Football,World Cup 2022 Forum
"Hope the Argies can do it, have no allegiances but love what Messi has done for this wonderful game I would echo your sentiments- nothing against the French but would be the perfect time for Messi to retire from international football with a win. He has","Mon Dec 19, 2022 8:57 am",546,30935,World Football,World Cup 2022 Forum
"Hope the Argies can do it, have no allegiances but love what Messi has done for this wonderful game","Sun Dec 18, 2022 9:58 am",546,30935,World Football,World Cup 2022 Forum
"Mbappe? As for Argentina’s 🇦🇷 QF against the Netherlands 🇳🇱 I enjoyed that intriguing game. It was war. 17 yellow cards with both skippers, Lionel Messi and Virgil van Dijk, amongst those booked. Argentina survived that maelstrom and the next test in the Semi-Final. They also now get an extra day’s","Thu Dec 15, 2022 10:15 am",546,30935,World Football,World Cup 2022 Forum
"Two of my least favourite teams, a bit like watching Arsenal play Chelsea  A popular final in Qatar though, Messi v Mbappe, who both play for PSG, who are owned by..?No wonder we've seen some dubious refereeing.","Thu Dec 15, 2022 8:47 am",546,30935,World Football,World Cup 2022 Forum
"played mainly on count attack which to me is pretty poor if you have a team of top players ,not to mention going down for any close contact-Messi included. I am bitter that my Croat legendary midfield was useless & hardly any shots on goal, Argentine left side was always open, Mathew Lecki","Wed Dec 14, 2022 3:56 pm",546,30935,World Football,World Cup 2022 Forum
"I was trying to find a photo I saw on C7 news of the Day 7 MOTM trophy winners.Lewandoski, Messi, Mbappe and Mitchell Duke. What company to be in. I hope Messi appreciates the company he is in.","Sun Nov 27, 2022 7:50 pm",546,30935,World Football,World Cup 2022 Forum
"have claimed to have scored more but his goals were all scored in Official matches - no friendlies or pre-season or unofficial matches. How did Messi get the Ballon D'Or for this year when he's really done very little this season, how many goals?, whereas Ronaldo has been knocking goals in all","Wed Dec 08, 2021 4:00 pm",445,42394,World Football,EPL 21/22
ManU loosing to Young Boys a shock. Ronny still keeps scoring. Totally a machine. Is the Barca era coming to a close with no Messi.,"Wed Sep 15, 2021 1:12 pm",66,6403,World Football,UEFA Champions League 21/22
