Absolute legend and by all accounts a fantastic human being. He was the first true genius of the beautiful game.Pele has gone but he will never be forgotten.,"Sat Dec 31, 2022 10:22 pm",5,1164,World Football,Pele
for,"Fri Dec 30, 2022 6:37 pm",5,1164,World Football,Pele
"The king of our game has gone ,RIP & thank you four all the beauty you brought to the sport.","Fri Dec 30, 2022 6:37 pm",5,1164,World Football,Pele
"He had a pretty good run at life, didn't die wondering. A fantastic footballer.","Fri Dec 30, 2022 8:22 am",5,1164,World Football,Pele
Sad news this morning .Pele RIP.,"Fri Dec 30, 2022 7:49 am",5,1164,World Football,Pele
"If England can't win it, I'd be happy to see Brazil take it out for Pele. Joga bonito indeed.","Tue Dec 06, 2022 6:45 am",546,30935,World Football,World Cup 2022 Forum
There will never be another PELE Brazil legend Pele posts first message since being moved to 'end of life care' as a result of his battle with colon cancer he stopped responding to chemotherapy treatment for his bowel cancer. ,"Mon Dec 05, 2022 1:37 pm",5,1164,World Football,Pele
"like pass, or even hoof, a ball with both feet. Players like Emerson Royal (no way is he Brazilian) and Ben Davies make Moussa Sissoko look like Pele. I guess there mustn’t be an Italian equivalent for the old adage “You can’t polish a turd”","Fri Feb 25, 2022 12:02 pm",445,42394,World Football,EPL 21/22
"like pass, or even hoof, a ball with both feet. Players like Emerson Royal (no way is he Brazilian) and Ben Davies make Moussa Sissoko look like Pele.","Fri Feb 25, 2022 8:21 am",445,42394,World Football,EPL 21/22
"The best players that i saw live, I didn't get to see Pele but Diego Armando Maradona was a pure superstar and lived a very hard and controversial life, RIP to the GOAT.","Thu Nov 26, 2020 8:52 am",62,6387,World Football,Diego Maradona dies
"watched him perform ‘safe as a bank’ for Stoke on the BBC’s Match of the Day here in Australia on black and white TV. A “foreign” player called Pele has led the tributes for Gordon, not just for that save from his header but as the thorough gentleman he found him to be. From memory GIAE, you","Wed Feb 13, 2019 2:09 pm",26,6152,World Football,Gordon Banks RIP
Very sad news RIP to England’s greatest ever keeper .,"Tue Feb 12, 2019 9:06 pm",26,6152,World Football,Gordon Banks RIP
Great keeperJust a reminder how good against Brazill 1970,"Tue Feb 12, 2019 8:38 pm",26,6152,World Football,Gordon Banks RIP
"not easily, not as if they were 3 classes above/ ps. Griezman should have won best man of the game and not Mbappe imo, this was to make him a new pele, he will be a staruntill next injury. Your post exemplifies everything wrong with the mentality of Australian football since the new dawn. Too","Mon Jul 16, 2018 5:26 pm",614,82121,World Football,World Cup 2018
"not easily, not as if they were 3 classes above/ ps. Griezman should have won best man of the game and not Mbappe imo, this was to make him a new pele, he will be a staruntill next injury.","Mon Jul 16, 2018 2:20 pm",614,82121,World Football,World Cup 2018
Pele still treasure's OM's shirt from that tournament.,"Tue Jun 12, 2018 7:56 pm",141,29161,World Football,How are you watching the World Cup?
His best mate pele was in it as well.,"Tue Jun 12, 2018 7:11 pm",141,29161,World Football,How are you watching the World Cup?
"due to pitch availability but FFSA have to be notified well in advance. 8.45am: U13 & U15 10.30am: U14 & U17 12 noon: U12 & U16 Well said Ginger Pele, Club volunteers are at grounds for around 7am for games that start at 8.45am, setting up canteen, pitches and BBQ. Volunteers like to go out Saturday","Tue Jan 17, 2017 2:55 pm",14,5999,Junior Football,Kick off times
"exactly where it has all gone. when I was a kid we kicked balls of all sizes anywhere from dawn to dusk,even golf balls. never a grapefruit like pele did. we would have shared it. sometimes 30 a side in a concrete school playground with a bloody tennis ball. if you had been daft enough to dive","Thu Dec 22, 2016 9:45 pm",164,79112,Shoot Goal >>>>,Adelaide Soccer Syndrome
"Pep Guardiola? Not looking like such a genius now is he? Mind you, that City defence could make any forward look like Pele.","Sun Dec 11, 2016 7:49 pm",92,28291,World Football,First EPL Manager to be sacked this season?
the season. GORDON BANKS: Went on to win 73 England caps and make 628 club appearances in a 15-year career. Still famed for his stunning save from Pele’s header in England’s 1970 World Cup clash with Brazil. Helped Stoke to the 1972 League Cup though lost the sight in one eye in a car crash in,"Fri Aug 05, 2016 3:42 pm",13,4692,World Football,Where are England's World Cup Winners?
Certainly right about Pele been literally kicked out of the tournament.,"Sun Jul 24, 2016 9:06 pm",22,5581,World Football,For Kosta Utd & Hawksey......
