with UEFA over groundbreaking Champions League 'wildcard' addition   IMO I hope this doesn't,"Mon Aug 28, 2023 6:30 pm",20,2408,World Football,Saudi's and FFP
with UEFA over groundbreaking Champions League 'wildcard' addition  ,"Wed Aug 23, 2023 5:21 pm",20,2408,World Football,Saudi's and FFP
ronaldo is a legend in his own lunchbox. ten hag 1 ronaldo 0 just a shame an egomaniac.,"Fri Apr 14, 2023 11:30 pm",41,3696,World Football,UEFA Europa League  22/23
"consistency but are never going to get it. Can we say the Mancs are in the title talk conversation now?? ETH starting to have an impact, moving on Ronaldo blessing in disguise.. Last night's result puts more spice on the NLD tomorrow morning. COYG!! :clap: Chelski, up to their old tricks.. signing","Sun Jan 15, 2023 10:13 am",776,49958,World Football,EPL 22/23
"pass is exceptional, I think he is better than Xavi and Iniesta were. I thought Mac Allister was excellent, as well as the obvious candidates like Ronaldo ;-) Mac Allister was brilliant, especially in the final.","Tue Dec 20, 2022 10:54 am",14,1851,World Football,Players of the tournament
"His spatial awareness and ability to hold the ball and pick a perfectly weighted pass is exceptional, I think he is better than Xavi and Iniesta were.I thought Mac Allister was excellent, as well as the obvious candidates like Ronaldo","Tue Dec 20, 2022 10:30 am",14,1851,World Football,Players of the tournament
would be the perfect time for Messi to retire from international football with a win. He has been the most wonderful footballer in recent times. Ronaldo runs him close but for me Messi is pure genius and is not all about himself. Whatever happens I hope it is a classic final and the best team,"Mon Dec 19, 2022 8:57 am",546,30935,World Football,World Cup 2022 Forum
"Sad to see Modric substituted. He had a great QF against the Dutch when he was everywhere and took one of the coolest of penalties.At 37 still looks very fit and lean. But like Ronaldo for Portugal, is this the end playing internationals for Croatia?","Wed Dec 14, 2022 12:00 pm",546,30935,World Football,World Cup 2022 Forum
anybody know.,"Mon Dec 05, 2022 10:30 am",776,49958,World Football,EPL 22/23
anyone know when mason greenwood gets back. he would be ten hags replacement for ronaldo.,"Fri Dec 02, 2022 9:09 pm",776,49958,World Football,EPL 22/23
"Captain Obvious, but wouldn't those technical players be better if they were a yard quicker, could run longer, jump higher, etc? Why is Cristiano Ronaldo still able (just) to play at the top level at 37, why did Stanley Mathews play until he was 50? Are those really the core skills that are required,","Thu Dec 01, 2022 10:25 pm",546,30935,World Football,World Cup 2022 Forum
Ronaldo,"Mon Nov 14, 2022 12:53 pm",776,49958,World Football,EPL 22/23
All the clubs that were looking at getting CR7 must be happy they dodge a bullet. This guy's ego is massive.Boss Ten Hag has now lost patience and come down hard on the veteran striker k-ten-hag/,"Fri Oct 21, 2022 8:02 pm",776,49958,World Football,EPL 22/23
"Tuchel wins champions league with 2 clubs,considered a bad coach-boy standards have changed.New owner just could not take him not wanting Ronaldo,that sighed his separation check. I champions league and 1 runner up with PSG. He has league titles in France but that's a1 team comp. I think he","Fri Sep 09, 2022 4:09 pm",44,3288,World Football,Next EPL Manager to be sacked
"Tuchel wins champions league with 2 clubs,considered a bad coach-boy standards have changed.New owner just could not take him not wanting Ronaldo,that sighed his separation check.","Fri Sep 09, 2022 3:36 pm",44,3288,World Football,Next EPL Manager to be sacked
"About time a coach at Man U exerted their authority.benching both Maguire and Ronaldo who by all accounts are the cause of the rift in the dressing room. Surely Chelsea can't be chasing Harry Maguire, has to be just made up? :lol: Please, please God, if he","Tue Aug 23, 2022 4:18 pm",776,49958,World Football,EPL 22/23
"Surely Chelsea can't be chasing Harry Maguire, has to be just made up?","Tue Aug 23, 2022 9:31 am",776,49958,World Football,EPL 22/23
About time a coach at Man U exerted their authority.benching both Maguire and Ronaldo who by all accounts are the cause of the rift in the dressing room.,"Tue Aug 23, 2022 9:27 am",776,49958,World Football,EPL 22/23
Anyone want Ronaldo? Maybe Adelaide United should make a play for him.,"Tue Jul 05, 2022 8:37 am",776,49958,World Football,EPL 22/23
"Good money if you are one of the best. Manchester United star Cristiano Ronaldo earned a bumper £850,000 bonus after hat-trick against Norwich and will get £100k for every goal he scores till end of season. According to The Sun UK, Ronaldo triggered a bonus-related","Tue Apr 19, 2022 10:28 am",445,42394,World Football,EPL 21/22
"carry on even at top level is immature, it is no wonder it happens at other levels too. Unfortunately it flows down doesn’t it. Little Johnny sees Ronaldo acting like a petulant twat, so he does it in the JSL 10s but because no one stamps it out and his Dad is in the face of the official screaming","Tue Apr 12, 2022 8:05 pm",9,3006,Amateur League,"Covid, postponements and SAASL losing the bottle of shiraz plot"
"the greenwood top coz I had to get rid of the giggs one what with his err….troubles and anyway I only had the giggs top in the first place coz the Ronaldo one started looking a bit iffy with his US court case and all. Then rooney and his peculiarities, that one had to go. Don’t even talk about","Wed Feb 02, 2022 1:58 pm",445,42394,World Football,EPL 21/22
Ronaldo becomes the first player to officially score 800 goals in Top Flight Football matches. Many have claimed to have scored more but his goals were all scored in Official matches - no friendlies or pre-season or unofficial,"Wed Dec 08, 2021 4:00 pm",445,42394,World Football,EPL 21/22
Ronaldo scores again. 140 CL goals now. Amazing.Robert Lewangoalski scores another brilliant goal.Chelsea touch up a poor Juve. The old lady looked a lot older today.,"Wed Nov 24, 2021 6:26 pm",66,6403,World Football,UEFA Champions League 21/22
