"most had been ""let down by a minority"". In a press conference before their match against Wales, England manager Roy Hodgson and captain Wayne Rooney made a request to fans to ""stay out of trouble"", reiterating the Football Association's official stance. I guess that's a fairly light touch.","Sat Dec 24, 2022 9:39 pm",546,30935,World Football,World Cup 2022 Forum
"and anyway I only had the giggs top in the first place coz the Ronaldo one started looking a bit iffy with his US court case and all. Then rooney and his peculiarities, that one had to go. Don’t even talk about ravel morrison. Jesus it’s hard to support Utd, wish I had just stuck with the","Wed Feb 02, 2022 1:58 pm",445,42394,World Football,EPL 21/22
"ground stance why do you make it so easy?  What Rooney did was consensual, was Paine's? Rooney wasn't given the captaincy after a scandal on the basis that he was clean cut. There","Mon Nov 22, 2021 10:02 am",38,4434,Other Sports,Stand in skipper standing down?
"Englands greatest international goal scorer and one-time captain, his wife, granny lover and frequented prostitutes would like to thank you for your moral high ground stance why do you make it so easy? ","Mon Nov 22, 2021 9:39 am",38,4434,Other Sports,Stand in skipper standing down?
"majority of outgoings being associated with playing staff who obviously could not be furloughed."" Derby, managed by former England captain Wayne Rooney, are 16th in the table with seven points from their first seven matches. A 12-point deduction would leave them with minus-five points and 10","Sat Sep 18, 2021 12:45 pm",5,1123,World Football,Championship club file notice to appoint administrators
Made his England debut against Ireland and became England’s third youngest full international behind Walcott and Rooney .,"Sat Nov 14, 2020 3:43 pm",5,1589,World Football,Bellingham signs for Dortmund.
"team that won the 1966 World Cup. The 83-year-old was capped 106 times for England, scoring 49 goals — a record only recently bettered by Wayne Rooney, who also surpassed his tally of 249 goals for Manchester United. Charlton survived the 1958 Munich air disaster that killed eight United teammates","Fri Nov 06, 2020 1:07 pm",0,758,World Football,Sir Bobby Charlton diagnosed with Dementia.
"league 1 in Scotland to signing for the new a-league club (he just scored tonight), not to mention Ross McCormack who was made to look like Rooney in the a-league. I could continue with the examples but will leave for now :lol: are you actually.using friendlies to make a point? 8) Scott","Tue Sep 03, 2019 10:24 pm",679,74236,World Football,Rangers v Celtic
"league 1 in Scotland to signing for the new a-league club (he just scored tonight), not to mention Ross McCormack who was made to look like Rooney in the a-league. I could continue with the examples but will leave for now :lol:[/quote] You're stretching it putting friendlies in there especially","Tue Sep 03, 2019 9:58 pm",679,74236,World Football,Rangers v Celtic
"league 1 in Scotland to signing for the new a-league club (he just scored tonight), not to mention Ross McCormack who was made to look like Rooney in the a-league. I could continue with the examples but will leave for now :lol:","Tue Sep 03, 2019 8:59 pm",679,74236,World Football,Rangers v Celtic
be interested in? This is why Australia will never produce a decent quantity of footballers playing at the top level. Have a listen to the Wayne Rooney podcast on BBC and get a feel for the hours he was putting in as a kid. He was playing 4 hours + per day. There just isn’t a culture out here,"Sat Aug 17, 2019 2:51 pm",4,1748,Junior Football,Need for more game play
"Controversy, no issues.","Thu Aug 08, 2019 1:11 pm",3016,493077,World Football,England - 2019-20 Championship (formerly the 18-19 EPL)
I see there are some issues arising about the involvement of a gambling body being involved in the deal to bring Rooney in.,"Thu Aug 08, 2019 11:57 am",3016,493077,World Football,England - 2019-20 Championship (formerly the 18-19 EPL)
Read that now. Wasn't sure at the time though as it was on an Australian website.,"Wed Aug 07, 2019 7:07 pm",3016,493077,World Football,England - 2019-20 Championship (formerly the 18-19 EPL)
"Coach, from January.","Wed Aug 07, 2019 3:43 pm",3016,493077,World Football,England - 2019-20 Championship (formerly the 18-19 EPL)
Player coach or player manager?,"Wed Aug 07, 2019 12:50 pm",3016,493077,World Football,England - 2019-20 Championship (formerly the 18-19 EPL)
Rooney signs 18 mth deal as player coach Derby County.,"Wed Aug 07, 2019 10:25 am",3016,493077,World Football,England - 2019-20 Championship (formerly the 18-19 EPL)
"The 33-year-old's spokesman moved to explain the circumstances that led to Rooney's arrest. ""During the flight Wayne took a prescribed amount of sleeping tablets mixed with some alcohol consumption and consequently was disorientated on arrival,"" the spokesman","Wed Jan 09, 2019 10:47 am",45,9803,World Football,Current England International Caught Doing Coke
"meanwhile Wayne Rooney arrested over drunken incident Australian Associated Press Australian Associated Press7 Jan. 2019, 7:44 am Millionaire English footballer Wayne Rooney has been arrested and fined $25 for being drunk at an","Mon Jan 07, 2019 2:33 pm",45,9803,World Football,Current England International Caught Doing Coke
"Yes, the same as the joke with Rooney getting one.","Mon Nov 19, 2018 2:43 pm",44,14472,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",Cahill proves he's one of our greatest
