do yourself a favour and watch this movie,"Fri Dec 10, 2021 1:46 pm",4,2866,Football Films,Diego Maradona - the film
One of 5 if that's your angle.,"Sat Nov 28, 2020 1:34 pm",62,6387,World Football,Diego Maradona dies
Why would you get caught up in emotion about a game involving 2 countries that aren't your own?,"Sat Nov 28, 2020 1:16 pm",62,6387,World Football,Diego Maradona dies
that was turning Milan Ivanovic inside out and scoring a brilliant goal to knock us out of the World Cup. RIP to the flawed Genius that is Diego Maradona. He did turn Ivanovic inside out on the flank but then crossed to Abel Balbo who scored. Australia equalised 6 mins later through Aurelio Vidmar.,"Sat Nov 28, 2020 11:57 am",62,6387,World Football,Diego Maradona dies
"He meant a whole lot to a lot of people and at the end of the day he is still a son, a father, a grandfather and deserves to be mourned by people. Did you know him personally, a good friend of yours, distant family perhaps? Those are the people you mourn. IMO all this mourning of celebrities is sim","Sat Nov 28, 2020 11:31 am",62,6387,World Football,Diego Maradona dies
"Party at mine tonight, going to be a big celebration. Drug cheats should not be mourned. Still suffering that World Cup loss? Let it go We didn't play them in the 1994 world cup. You didn't play anyone in the 1994 world cup. I know because we eliminated you in qualifying. :lol: You were one of 4","Sat Nov 28, 2020 9:24 am",62,6387,World Football,Diego Maradona dies
You didn't play anyone in the 1994 world cup. I know because we eliminated you in qualifying.,"Fri Nov 27, 2020 6:28 pm",62,6387,World Football,Diego Maradona dies
"The bloke could play, he was inspirational to my generation of football players, he should be celebrated. Shilton could handle the ball, maradona couldn't. It was a 50/50 and Shilton was beaten by a short àrse to get his hands on it. The ref missed it, tough luck. Id be more pissed at Shilton.","Fri Nov 27, 2020 3:24 pm",62,6387,World Football,Diego Maradona dies
"Party at mine tonight, going to be a big celebration. Drug cheats should not be mourned. I think you need to pump the brakes there a little. It's not like he was responsible for mass genocide or enslaving people, he was a footballer. You are within your rights to not like him as a person and/or a p","Fri Nov 27, 2020 9:27 am",62,6387,World Football,Diego Maradona dies
"Twice banned for 15 months for being a drug cheat. He cheated his fellow players, the supporters and the game on a consistent basis without conscience. Gorged himself on free mafia coke for years to become a sad parody of himself. His death wasn’t untimely it was inevitable, what a waster","Fri Nov 27, 2020 9:19 am",62,6387,World Football,Diego Maradona dies
